Run	Individual	Name	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	GEO_Accession	Instrument	LibraryLayout	LibrarySelection	LibrarySource	MBases	MBytes	Organism	Platform	ReleaseDate	sample_acc	Sample Name	source_name	SRA Study	subject_status	tissue_type	time_point
SRR2926028	Control_01	107	RNA-Seq	202	9963925730	PRJNA301173	SAMN04240854	6513734453	GEO	public	sra	"ncbi	s3	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX1418716	GSM1930379	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	9963	6211	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152644	GSM1930379	Normal Skin	SRP065812	healthy control	normal skin	
SRR2926016	Control_02	C2	RNA-Seq	202	7671659020	PRJNA301173	SAMN04240842	5278092625	GEO	public	sra	"ncbi	gs	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX1418704	GSM1930367	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	7671	5033	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152655	GSM1930367	Normal Skin	SRP065812	healthy control	normal skin	
SRR2926017	Control_03	C3	RNA-Seq	202	7490276554	PRJNA301173	SAMN04240843	5123592841	GEO	public	sra	"s3	gs	ncbi"	"s3.us-east-1	ncbi.public	gs.US"	SRX1418705	GSM1930368	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	7490	4886	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152654	GSM1930368	Normal Skin	SRP065812	healthy control	normal skin	
SRR2926018	Control_04	C4	RNA-Seq	202	8468053312	PRJNA301173	SAMN04240844	5814191848	GEO	public	sra	"gs	ncbi	s3"	"s3.us-east-1	ncbi.public	gs.US"	SRX1418706	GSM1930369	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	8468	5544	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152653	GSM1930369	Normal Skin	SRP065812	healthy control	normal skin	
SRR2926019	Control_05	C5	RNA-Seq	202	11319957386	PRJNA301173	SAMN04240845	7777440061	GEO	public	sra	"ncbi	gs	s3"	"s3.us-east-1	ncbi.public	gs.US"	SRX1418707	GSM1930370	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	11319	7417	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152652	GSM1930370	Normal Skin	SRP065812	healthy control	normal skin	
SRR2926020	Control_06	C6	RNA-Seq	202	9634664922	PRJNA301173	SAMN04240846	6632244702	GEO	public	sra	"s3	ncbi	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX1418708	GSM1930371	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	9634	6325	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152651	GSM1930371	Normal Skin	SRP065812	healthy control	normal skin	
SRR2926029	Control_07	M32ACtrl	RNA-Seq	202	11389297320	PRJNA301173	SAMN04240855	7068951701	GEO	public	sra	"s3	gs	ncbi"	"s3.us-east-1	gs.US	ncbi.public"	SRX1418717	GSM1930380	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	11389	6741	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152642	GSM1930380	Normal Skin	SRP065812	healthy control	normal skin	
SRR2926021	Control_08	C8	RNA-Seq	202	11663213764	PRJNA301173	SAMN04240847	7684909379	GEO	public	sra	"s3	ncbi	gs"	"gs.US	s3.us-east-1	ncbi.public"	SRX1418709	GSM1930372	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	11663	7328	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152650	GSM1930372	Normal Skin	SRP065812	healthy control	normal skin	
SRR2926022	Control_09	C9	RNA-Seq	202	12158813088	PRJNA301173	SAMN04240848	7949529755	GEO	public	sra	"s3	ncbi	gs"	"ncbi.public	s3.us-east-1	gs.US"	SRX1418710	GSM1930373	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	12158	7581	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152648	GSM1930373	Normal Skin	SRP065812	healthy control	normal skin	
SRR2926023	Control_10	C10	RNA-Seq	202	9781161786	PRJNA301173	SAMN04240849	6414784128	GEO	public	sra	"ncbi	s3	gs"	"s3.us-east-1	gs.US	ncbi.public"	SRX1418711	GSM1930374	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	9781	6117	Homo sapiens	ILLUMINA	2015-12-24T00:00:00Z	SRS1152647	GSM1930374	Normal Skin	SRP065812	healthy control	normal skin	
